PG.Qvalue	PG.ProteinGroups	PG.Genes	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	[1] Omar_DIA_20250627_HEX_C2_R18_S1-B4_1_7756.d.PG.Quantity	[2] Omar_DIA_20250627_HEX_C3_R22_S1-B8_1_7760.d.PG.Quantity	[3] Omar_DIA_20250627_HEX_C4_R24_S1-B9_1_7762.d.PG.Quantity	[4] Omar_DIA_20250627_HEX_C5_R25_S1-B10_1_7763.d.PG.Quantity	[5] Omar_DIA_20250627_HEX_N2_R14_S1-A12_1_7752.d.PG.Quantity	[6] Omar_DIA_20250627_HEX_N3_R08_S1-A7_1_7746.d.PG.Quantity	[7] Omar_DIA_20250627_HEX_N4_R04_S1-A3_1_7742.d.PG.Quantity	[8] Omar_DIA_20250627_HEX_N5_R02_S1-A1_1_7740.d.PG.Quantity	[9] Omar_DIA_20250627_HEX_NES2_R13_S1-A11_1_7751.d.PG.Quantity	[10] Omar_DIA_20250627_HEX_NES3_R30_S1-C3_1_7768.d.PG.Quantity	[11] Omar_DIA_20250627_HEX_NES4_R06_S1-A5_1_7744.d.PG.Quantity	[12] Omar_DIA_20250627_HEX_NES5_R09_S1-A8_1_7747.d.PG.Quantity	[13] Omar_DIA_20250627_U2oS_C1_R29_S1-C2_1_7767.d.PG.Quantity	[14] Omar_DIA_20250627_U2oS_C2_R03_S1-A2_1_7741.d.PG.Quantity	[15] Omar_DIA_20250627_U2oS_C3_R27_S1-B12_1_7765.d.PG.Quantity	[16] Omar_DIA_20250627_U2oS_C4_R21_S1-B7_1_7759.d.PG.Quantity	[17] Omar_DIA_20250627_U2oS_C5_R17_S1-B3_1_7755.d.PG.Quantity	[18] Omar_DIA_20250627_U2oS_N1_R19_S1-B5_1_7757.d.PG.Quantity	[19] Omar_DIA_20250627_U2oS_N2_R11_S1-A10_1_7749.d.PG.Quantity	[20] Omar_DIA_20250627_U2oS_N3_R28_S1-C1_1_7766.d.PG.Quantity	[21] Omar_DIA_20250627_U2oS_N4_R05_S1-A4_1_7743.d.PG.Quantity	[22] Omar_DIA_20250627_U2oS_N5_R26_S1-B11_1_7764.d.PG.Quantity	[23] Omar_DIA_20250627_U2oS_NES1_R20_S1-B6_1_7758.d.PG.Quantity	[24] Omar_DIA_20250627_U2oS_NES2_R15_S1-B1_1_7753.d.PG.Quantity	[25] Omar_DIA_20250627_U2oS_NES3_R07_S1-A6_1_7745.d.PG.Quantity	[26] Omar_DIA_20250627_U2oS_NES4_R10_S1-A9_1_7748.d.PG.Quantity	[27] Omar_DIA_20250627_U2oS_NES5_R16_S1-B2_1_7754.d.PG.Quantity	[28] Omar_DIA_20250627_Pool_QC01_R01_S1-C9_1_7739.d.PG.Quantity	[29] Omar_DIA_20250627_Pool_QC02_R12_S1-C10_1_7750.d.PG.Quantity	[30] Omar_DIA_20250627_Pool_QC03_R23_S1-C11_1_7761.d.PG.Quantity	[31] Omar_DIA_20250627_Pool_QC04_R31_S1-C12_1_7769.d.PG.Quantity
0	95620		6	13897.939453125	6478.67529296875	8456.0244140625	9614.5986328125	6037.10546875	68032.640625	8162.474609375	7906.7880859375	11365.4013671875	34251.8984375	23658.89453125	57626.75390625	14602.2802734375	5858.4267578125	13872.7822265625	19329.0625	28323.705078125	14531.5859375	14921.43359375	17785.46484375	7299.7822265625	17280.84765625	18730.818359375	12791.431640625	14017.2021484375	26966.966796875	16504.896484375	4204.619140625	10443.2451171875	12980.884765625	12921.166015625
NaN	95620_Decoy	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0A024R1R8;Q9Y2S6	TMA7B;TMA7	2	39.47246170043945	198.02452087402344	337.98358154296875	918.36328125	431.97662353515625	4498.7197265625	165.2054901123047	76.24612426757812	365.4542236328125	NaN	111.90028381347656	18089.111328125	136.04478454589844	80.3359375	348.7713623046875	243.72445678710938	144.97560119628906	143.8442840576172	114.72856140136719	267.6563415527344	36.837989807128906	42.759586334228516	108.60513305664062	42.43739700317383	146.43154907226562	328.47344970703125	149.82247924804688	29.121864318847656	127.5119857788086	162.97735595703125	106.4334716796875
0.9086859688195991	A0A087WUL8;A0AAG2SUX2;A0AAG2UXD8;A0AAG2UXK7;A0AAG2UXS2;P0DPF3;Q3BBV0;Q3BBV2;Q5TAG4;Q5TI25;Q6P3W6;Q86T75	NBPF19;LOC124905564;LOC102724250;LOC124905564;LOC124905558;NBPF9;NBPF1;NBPF8;NBPF12;NBPF14;NBPF10;NBPF11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.1235752849430114	A0A1B0GTK5;P0DP71	FAM236D;FAM236C	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0AAG2SUK6;Q16540	;MRPL23	1	NaN	46.86050033569336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.28607940673828	20.784770965576172	44.70298385620117	34.238887786865234	76.57456970214844	NaN	33.31158447265625	20.687789916992188	8.299821853637695	24.144821166992188	20.29876136779785	10.646759033203125	30.49713134765625	11.000897407531738	16.67599105834961	NaN	NaN	NaN	NaN
0.29924898902368574	A0AVT1	UBA6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0JLT2	MED19	2	97.58708953857422	118.0051498413086	56.99713134765625	NaN	38.19195556640625	1086.45458984375	19.93276596069336	13.697541236877441	31.472900390625	181.00729370117188	91.57122802734375	164.43983459472656	241.4767303466797	41.75151062011719	84.04010009765625	325.7581481933594	136.7211151123047	92.9168701171875	83.09719848632812	106.07637023925781	72.4748764038086	118.32508087158203	95.35547637939453	50.62749099731445	136.25973510742188	99.5293197631836	121.20794677734375	NaN	70.06025695800781	67.56756591796875	45.500423431396484
NaN	A0JLT2_Decoy	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.17314487632508835	A0PJE2	DHRS12	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
